"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Zack Greinke",33,"SP","Vet",3.1e+07,3e+06,0,3.4e+07,3.4e+07,33.13,"34,416,667"
"Paul Goldschmidt",29,"1B","Vet",8750000,1e+05,0,8850000,8850000,8.62,"6,400,000"
"A.J. Pollock",29,"CF","Arb 2",6750000,0,0,6750000,6750000,6.58,"5,125,000"
"J.D. Martinez",29,"DH","Arb 3",11750000,0,0,11750000,4879808,4.76,"9,250,000"
"Fernando Rodney",40,"RP","Vet",2750000,0,1250000,4e+06,4e+06,3.9,"2,750,000"
"Patrick Corbin",28,"SP","Arb 2",3950000,0,0,3950000,3950000,3.85,"3,950,000"
"Jorge De La Rosa",36,"RP","Vet",2250000,0,0,2250000,2250000,2.19,"2,250,000"
"Taijuan Walker",24,"SP","Arb 1",2250000,0,0,2250000,2250000,2.19,"2,250,000"
"Jeff Mathis",34,"C","Vet",2e+06,0,0,2e+06,2e+06,1.95,"2,000,000"
"Chris Iannetta",34,"C","Vet",1500000,0,0,1500000,1500000,1.46,"1,500,000"
"Daniel Descalso",30,"3B","Vet",1350000,0,0,1350000,1350000,1.32,"1,500,000"
"Gregor Blanco",33,"RF","Vet",1e+06,0,0,1e+06,1e+06,0.97,"1,000,000"
"Chris Herrmann",29,"C","Arb 1",937500,0,0,937500,937500,0.91,"937,500"
"J.J. Hoover",29,"RP","Arb 1",9e+05,0,0,9e+05,9e+05,0.88,"900,000"
"Jake Lamb",26,"3B","Pre-Arb",573300,0,0,573300,573300,0.56,"573,300"
"David Peralta",29,"RF","Pre-Arb",572200,0,0,572200,572200,0.56,"572,200"
"Robbie Ray",25,"SP","Pre-Arb",570400,0,0,570400,570400,0.56,"570,400"
"Andrew Chafin",27,"RP","Pre-Arb",559300,0,0,559300,559300,0.55,"559,300"
"Brandon Drury",24,"2B","Pre-Arb",559300,0,0,559300,559300,0.55,"559,300"
"Archie Bradley",24,"RP","Pre-Arb",544100,0,0,544100,544100,0.53,"544,100"
"T.J. McFarland",28,"RP","Arb 1",535000,0,0,535000,461834,0.45,"535,000"
"Adam Rosales",34,"2B","Vet",1250000,0,0,1250000,430353,0.42,"1,250,000"
"Reymond Fuentes",26,"CF","Pre-Arb",535000,0,0,535000,409220,0.4,"535,000"
"Zack Godley",27,"SP","Pre-Arb",535000,0,0,535000,409220,0.4,"535,000"
"Jake Barrett",25,"RP","Pre-Arb",548300,0,0,548300,353528,0.34,"548,300"
"David Hernandez",32,"RP","Vet",850000,0,0,850000,292635,0.29,"850,000"
"Ketel Marte",23,"2B","Pre-Arb",535000,0,0,535000,280608,0.27,"535,000"
"Jeremy Hazelbaker",29,"OF","Pre-Arb",542500,0,0,542500,219336,0.21,"542,500"
"Silvino Bracho",24,"RP","Pre-Arb",535000,0,0,535000,163688,0.16,"535,000"
"Anthony Banda",23,"RP","Pre-Arb",535000,0,0,535000,111074,0.11,"535,000"
"Braden Shipley",25,"SP","Pre-Arb",535000,0,0,535000,102305,0.1,"535,000"
"John Ryan Murphy",26,"C","Pre-Arb",535000,0,0,535000,90613,0.09,"535,000"
"Kris Negron",31,"RF","Pre-Arb",535000,0,0,535000,90613,0.09,"535,000"
"Jimmie Sherfy",25,"RP","Pre-Arb",535000,0,0,535000,90613,0.09,"535,000"
"Ildemaro Vargas",25,"SS","Pre-Arb",535000,0,0,535000,78921,0.08,"535,000"
"Christian Walker",26,"1B","Pre-Arb",535000,0,0,535000,64306,0.06,"535,000"
