"Team","Roster","X25.Man.Payroll","Injured.Reserve","Retained","Buried","Suspended","X2018.Total.Payroll","Rank"
"Boston Red Sox",36,167955780,18074000,41755860,2180000,0,227398860,1
"San Francisco Giants",32,119689218,64341827,21136053,3283000,0,205665348,2
"Los Angeles Dodgers",40,160502596,3908850,30541679,5590000,0,199582045,3
"Chicago Cubs",37,152092957,37451220,1216894,2725000,3200000,194259933,4
"Washington Nationals",35,130197979,8999485,41161720,4481000,0,181382609,5
"New York Yankees",38,148010829,22568376,9249414,3130000,0,180098151,6
"Los Angeles Angels",37,91914083,57532566,24194770,1635000,0,173784989,7
"St. Louis Cardinals",36,113991329,27345600,20907798,2310900,0,163784311,8
"Houston Astros",36,158520510,556400,4027264,2189400,0,163524216,9
"Seattle Mariners",38,136839663,13496812,9361340,4025600,0,160993827,10
"Toronto Blue Jays",37,81293347,20481474,48740616,5450000,0,150946147,11
"New York Mets",33,82655203,49831436,15314261,5452000,1792000,150187987,12
"Colorado Rockies",35,131213168,7545000,4442400,3277000,0,143968544,13
"Arizona Diamondbacks",35,109501628,14124025,5630585,15151500,0,143324597,14
"Cleveland Indians",35,123670545,12836166,5222548,3277000,0,142804703,15
"Texas Rangers",35,96239016,6683451,36936251,3325000,0,140625018,16
"Detroit Tigers",33,67047516,37720870,24401899,4187600,0,130959889,17
"Atlanta Braves",37,73567565,13299094,42392955,5180000,0,130649395,18
"Baltimore Orioles",38,69691407,12650000,43550980,3726500,3e+06,130467027,19
"Kansas City Royals",30,83618228,7189167,37811905,4398500,0,129944821,20
"Minnesota Twins",35,56254373,29213890,29264527,2215000,0,115509520,21
"Milwaukee Brewers",36,89888839,7321500,11383150,3275700,0,108982016,22
"Philadelphia Phillies",40,97016347,0,6936684,2045000,0,104297471,23
"San Diego Padres",33,50169797,6764800,44479430,4274200,545000,103843635,24
"Cincinnati Reds",30,82511299,1344890,15242487,4395000,0,100305768,25
"Miami Marlins",31,43033514,15407490,31020460,6200000,0,91817860,26
"Pittsburgh Pirates",34,67576415,4670500,17492114,3302000,0,91025861,27
"Oakland Athletics",35,61525657,4972604,10118631,6745000,0,80315288,28
"Chicago White Sox",32,57261542,5920130,7681442,4935000,0,71839808,29
"Tampa Bay Rays",35,25668988,2213706,35944023,8225000,0,68810167,30
