"Name","W","L","PCT","GB","HOME","AWAY","RS","RA","DIFF","STRK","L10"
"Washington Nationals",98,64,0.605,"-","50-31","48-33",731,594,137,"W2","6_4"
"Cincinnati Reds",97,65,0.599,"1","50-31","47-34",669,588,81,"L1","5_5"
"New York Yankees",95,67,0.586,"3","51-30","44-37",804,668,136,"W4","7_3"
"Oakland Athletics",94,68,0.58,"4","50-31","44-37",713,614,99,"W6","8_2"
"San Francisco Giants",94,68,0.58,"4","48-33","46-35",718,649,69,"L1","5_5"
"Atlanta Braves",94,68,0.58,"4","48-33","46-35",700,600,100,"W1","7_3"
"Texas Rangers",93,69,0.574,"5","50-31","43-38",808,707,101,"L3","3_7"
"Baltimore Orioles",93,69,0.574,"5","47-34","46-35",712,705,7,"L1","6_4"
"Tampa Bay Rays",90,72,0.556,"8","46-35","44-37",697,577,120,"W1","8_2"
"Los Angeles Angels",89,73,0.549,"9","46-35","43-38",767,699,68,"L2","6_4"
"Detroit Tigers",88,74,0.543,"10","50-31","38-43",726,670,56,"W1","8_2"
"St. Louis Cardinals",88,74,0.543,"10","50-31","38-43",765,648,117,"W1","7_3"
"Los Angeles Dodgers",86,76,0.531,"12","45-36","41-40",637,597,40,"W1","8_2"
"Chicago White Sox",85,77,0.525,"13","45-36","40-41",748,676,72,"W1","4_6"
"Milwaukee Brewers",83,79,0.512,"15","49-32","34-47",776,733,43,"L1","4_6"
"Philadelphia Phillies",81,81,0.5,"17","40-41","41-40",684,680,4,"L2","4_6"
"Arizona Diamondbacks",81,81,0.5,"17","41-40","40-41",734,688,46,"L1","4_6"
"Pittsburgh Pirates",79,83,0.488,"19","45-36","34-47",651,674,-23,"L1","4_6"
"San Diego Padres",76,86,0.469,"22","42-39","34-47",651,710,-59,"W1","4_6"
"Seattle Mariners",75,87,0.463,"23","40-41","35-46",619,651,-32,"W2","3_7"
"New York Mets",74,88,0.457,"24","36-45","38-43",650,709,-59,"W1","5_5"
"Toronto Blue Jays",73,89,0.451,"25","41-40","32-49",716,784,-68,"W3","7_3"
"Kansas City Royals",72,90,0.444,"26","37-44","35-46",676,746,-70,"L1","2_8"
"Boston Red Sox",69,93,0.426,"29","34-47","35-46",734,806,-72,"L8","1_9"
"Miami Marlins",69,93,0.426,"29","38-43","31-50",609,724,-115,"L1","3_7"
"Cleveland Indians",68,94,0.42,"30","37-44","31-50",667,845,-178,"L1","6_4"
"Minnesota Twins",66,96,0.407,"32","31-50","35-46",701,832,-131,"L5","3_7"
"Colorado Rockies",64,98,0.395,"34","35-46","29-52",758,890,-132,"W1","6_4"
"Chicago Cubs",61,101,0.377,"37","38-43","23-58",613,759,-146,"W1","2_8"
"Houston Astros",55,107,0.34,"43","35-46","20-61",583,794,-211,"L1","5_5"
