"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Hosmer
										
										Eric Hosmer",29,"1B","Vet",NA,"$20,000,000","$1,000,000","$21,000,000","$21,000,000",20.65,"18,000,000"
"Machado
										
										Manny Machado",26,"3B","Vet",3,"$10,000,000","$2,000,000","$12,000,000","$12,000,000",11.8,"30,000,000"
"Myers
										
										Wil Myers",28,"LF","Arb 3",3,"$3,000,000","$2,500,000","$5,500,000","$5,500,000",5.41,"13,833,333"
"Kinsler
										
										Ian Kinsler",37,"2B","Vet",NA,"$3,750,000","-","$3,750,000","$3,750,000",3.69,"4,000,000"
"Yates
										
										Kirby Yates",32,"RP/CL","Arb 2",NA,"$3,062,500","-","$3,062,500","$3,062,500",3.01,"3,062,500"
"Stammen
										
										Craig Stammen",35,"RP","Vet",NA,"$2,250,000","-","$2,250,000","$2,250,000",2.21,"2,250,000"
"Hedges
										
										Austin Hedges",26,"C","",2,"$2,060,000","-","$2,060,000","$2,060,000",2.03,"2,060,000"
"Warren
										
										Adam Warren",31,"RP","Vet",NA,"$2,000,000","-","$2,000,000","$2,000,000",1.97,"2,500,000"
"Erlin
										
										Robbie Erlin",28,"RP","Arb 2",1,"$1,450,000","-","$1,450,000","$1,450,000",1.43,"1,450,000"
"Garcia
										
										Greg Garcia",29,"2B","Arb 1",NA,"$910,000","-","$910,000","$910,000",0.89,"910,000"
"Renfroe
										
										Hunter Renfroe",27,"RF","Pre-Arb",2,"$582,100","-","$582,100","$582,100",0.57,"582,100"
"Strahm
										
										Matthew Strahm",27,"SP","Pre-Arb",2,"$581,700","-","$581,700","$581,700",0.57,"581,700"
"Margot
										
										Manuel Margot",24,"CF","Pre-Arb",2,"$577,100","-","$577,100","$577,100",0.57,"577,100"
"Reyes
										
										Franmil Reyes",23,"RF","Pre-Arb",3,"$570,500","-","$570,500","$570,500",0.56,"570,500"
"Lucchesi
										
										Joey Lucchesi",26,"SP","Pre-Arb",3,"$565,100","-","$565,100","$565,100",0.56,"565,100"
"Lauer
										
										Eric Lauer",24,"SP","Pre-Arb",3,"$562,500","-","$562,500","$562,500",0.55,"562,500"
"Mejia
										
										Francisco Mejia",23,"C","Pre-Arb",2,"$556,300","-","$556,300","$556,300",0.55,"556,300"
"Margevicius
										
										Nick Margevicius",23,"P","Pre-Arb",NA,"$555,000","-","$555,000","$555,000",0.55,"555,000"
"Paddack
										
										Chris Paddack",23,"SP","Pre-Arb",NA,"$555,000","-","$555,000","$555,000",0.55,"555,000"
"Wisler
										
										Matt Wisler",26,"RP","Pre-Arb",NA,"$570,000","-","$570,000","$548,635",0.54,"548,635"
"Wieck
										
										Brad Wieck",27,"RP","Pre-Arb",3,"$555,000","-","$555,000","$522,200",0.51,"522,200"
"Maton
										
										Phil Maton",26,"RP","Pre-Arb",3,"$562,900","-","$562,900","$493,238",0.49,"493,238"
"France
										
										Ty France",24,"3B","Pre-Arb",NA,"$555,000","-","$555,000","$474,456",0.47,"474,456"
"Quantrill
										
										Cal Quantrill",24,"P","Pre-Arb",NA,"$555,000","-","$555,000","$453,568",0.45,"453,568"
"Dickerson
										
										Alex Dickerson",29,"LF","Arb 1",1,"$555,000","-","$555,000","$447,600",0.44,"447,600"
