"Team","Roster","X25.Man.Payroll","Injured.Reserve","Retained","Buried","Suspended","X2012.Total.Payroll","Rank"
"New York Yankees",42,214396932,0,14098524,0,0,228495456,1
"Philadelphia Phillies",45,169582490,0,10318033,0,0,179900523,2
"Boston Red Sox",47,168455280,0,6823771,0,0,175279051,3
"Los Angeles Angels of Anaheim",36,153844690,0,3323935,0,0,157168625,4
"Detroit Tigers",42,138762284,0,5500000,0,0,144262284,5
"Texas Rangers",40,134976346,0,3250000,0,0,138226346,6
"San Francisco Giants",41,122825338,0,14697867,0,0,137523205,7
"Los Angeles Dodgers",45,112952717,0,7832000,0,0,120784717,8
"St. Louis Cardinals",44,118985685,0,1475684,0,0,120461369,9
"Chicago Cubs",50,83799366,0,32542160,0,0,116341526,10
"Milwaukee Brewers",47,108461584,0,2443716,0,0,110905300,11
"Minnesota Twins",49,109130327,0,0,0,0,109130327,12
"Chicago White Sox",40,108250892,0,721311,0,0,108972203,13
"New York Mets",43,101930952,0,3938524,0,0,105869476,14
"Miami Marlins",40,81018688,0,17249970,850000,0,98392974,15
"Washington Nationals",43,95836048,0,420765,2e+06,0,98256813,16
"Atlanta Braves",37,86492616,0,11435440,0,0,97928056,17
"Toronto Blue Jays",42,90559953,0,6083969,650000,0,97293922,18
"Cincinnati Reds",40,89101498,0,0,8e+05,0,89901498,19
"Colorado Rockies",43,77376456,0,10834425,0,0,88210881,20
"Seattle Mariners",45,73220850,0,11218580,0,0,84439430,21
"Baltimore Orioles",41,80099381,0,3626487,0,0,83725868,22
"Arizona Diamondbacks",41,73439259,0,8336613,1183333,0,82959205,23
"Cleveland Indians",51,71325549,0,5993989,0,0,77319538,24
"Kansas City Royals",45,66385000,0,2579235,1380000,0,70344235,25
"Tampa Bay Rays",38,68232330,0,2010000,0,0,70242330,26
"San Diego Padres",39,60061913,0,2550000,747500,0,63839413,27
"Pittsburgh Pirates",44,58617066,0,3186203,0,0,61803269,28
"Oakland Athletics",45,56723737,0,2249836,0,0,58973573,29
"Houston Astros",43,23728500,0,30818739,0,0,54547239,30
"Florida Marlins",0,0,0,918033,0,0,918033,31
