"Team","Roster","X25.Man.Payroll","Injured.Reserve","Retained","Buried","Suspended","X2015.Total.Payroll","Rank"
"Los Angeles Dodgers","38","$199,977,688","$20,914,084","$70,324,195","$16,826,000","0-","$301,735,080",1
"New York Yankees","40","$187,271,441","$24,415,379","$9,939,561","$2,542,500","$507,500","$222,528,373",2
"San Francisco Giants","36","$133,109,385","$38,423,837","$12,322,089","$3,732,500","0-","$186,413,630",3
"Boston Red Sox","35","$95,030,446","$42,985,571","$45,443,277","$1,522,500","0-","$183,481,478",4
"Washington Nationals","39","$146,009,803","$17,556,549","$2,000,000","$507,500","0-","$165,655,095",5
"Detroit Tigers","37","$109,879,336","$27,072,978","$25,208,607","0-","0-","$162,160,921",6
"Texas Rangers","38","$124,525,876","$13,135,760","$14,368,970","$2,560,000","0-","$152,445,607",7
"Los Angeles Angels","39","$106,512,083","$19,015,000","$24,043,722","$4,241,500","0-","$151,348,162",8
"Philadelphia Phillies","33","$52,800,331","$33,290,177","$51,719,664","$6,302,666","0-","$141,722,639",9
"Toronto Blue Jays","37","$106,426,104","$6,382,500","$25,214,964","$3,578,100","0-","$138,309,664",10
"Chicago Cubs","37","$106,652,384","$1,000,000","$23,656,617","$3,757,500","0-","$132,993,810",11
"St. Louis Cardinals","38","$128,814,787","$3,195,000","0-","$3,552,500","0-","$132,178,951",12
"Kansas City Royals","36","$111,740,891","$10,483,450","$4,047,582","$2,538,200","0-","$126,529,835",13
"Seattle Mariners","33","$95,874,782","$1,383,169","$25,921,321","$4,538,400","0-","$126,045,473",14
"Chicago White Sox","32","$94,365,735","$507,500","$9,052,252","$1,950,000","$13,000,000","$118,875,487",15
"Baltimore Orioles","37","$93,958,315","$1,245,000","$22,276,584","$2,566,500","0-","$117,784,476",16
"New York Mets","38","$102,480,260","$5,551,249","$1,579,200","$6,837,900","0-","$115,698,927",17
"Cincinnati Reds","35","$68,445,559","$22,890,777","$20,832,787","$1,525,000","0-","$112,333,097",18
"Atlanta Braves","33","$55,022,799","$11,263,899","$44,307,649","$1,522,500","0-","$110,838,389",19
"Minnesota Twins","35","$101,448,147","$2,070,081","$3,950,000","$2,575,000","0-","$107,981,818",20
"San Diego Padres","37","$93,212,255","$11,029,819","$3,267,222","$1,568,000","0-","$107,915,272",21
"Colorado Rockies","38","$74,930,648","$5,862,600","$25,765,868","$1,527,500","0-","$106,860,781",22
"Pittsburgh Pirates","33","$81,904,030","$14,318,868","$2,759,768","$3,548,000","0-","$99,435,606",23
"Milwaukee Brewers","34","$58,772,714","$1,020,000","$33,510,458","$4,120,000","0-","$94,010,873",24
"Houston Astros","33","$64,818,398","$11,040,900","$3,150,680","$5,545,000","0-","$81,450,835",25
"Oakland Athletics","34","$41,897,450","$8,772,896","$29,468,089","$2,537,500","0-","$80,376,830",26
"Cleveland Indians","36","$45,520,977","$680,720","$29,817,050","$3,907,077","0-","$77,404,413",27
"Arizona Diamondbacks","39","$45,142,733","$1,026,500","$30,465,028","$900,000","0-","$76,781,801",28
"Tampa Bay Rays","35","$52,092,948","$8,440,963","$12,505,697","$3,337,500","0-","$73,582,652",29
"Miami Marlins","32","$28,171,144","$15,751,830","$19,528,890","$1,015,000","0-","$63,590,525",30
